Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,2ndFlrSF_cat,3SsnPorch_cat,BsmtFinSF1_cat,BsmtFinSF2_cat,BsmtUnfSF_cat,EnclosedPorch_cat,GarageArea_cat,LowQualFinSF_cat,MasVnrArea_cat,MiscVal_cat,OpenPorchSF_cat,PoolArea_cat,ScreenPorch_cat,TotalBsmtSF_cat,WoodDeckSF_cat,House_Age,House_Age_Squared,House_Decade_Built,Garage_Age,Garage_Age_Squared,Garage_Decade_Built,Remodel_Age,Remodel_Age_Squared,Remodel_Decade_Built
22,45,RM,-0.7273395481123569,-0.5592317985514613,Pave,Grvl,Reg,Bnk,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,Gable,CompShg,Wd Sdng,Wd Sdng,No,,TA,TA,PConc,TA,TA,No,Unf,,Unf,,0.16062875599534573,-0.9500764505265314,GasA,Ex,Y,FuseF,0.0440383593467624,,,-0.6105837806810303,0,0,1,0,3,1,Gd,6,Typ,1,Gd,Attchd,Unf,1,-1.3041581255034507,TA,TA,N,,,0.5177165388166428,,,,No,GdPrv,No,,6,2007,WD,Normal,11.845109950883979,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0.47168546511796905,0.46100142508153436,1930,0.621468931706444,0.6058929459330681,1930,0.7160419334400853,0.6979011174078563,1950
23,20,RL,0.2694798066776909,0.06459939488448031,Pave,No,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,0.30550005681848047,Gd,TA,PConc,Gd,TA,No,Unf,,Unf,,1.1158870635570477,1.1928140822502655,GasA,Ex,Y,SBrkr,1.1036246482752732,,,0.45330535402393374,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,2,0.234449530684457,TA,TA,Y,0.0,0.8823142529318851,,,,,No,No,No,,9,2008,WD,Normal,12.345838935721968,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,-0.863817927045787,-0.8741027196113788,2000,-0.7681986035520867,-0.7770099572635893,2000,-0.3403077443866934,-0.3454212913212063,2000
24,120,RM,-1.6632714226331307,-1.8778586289752814,Pave,No,Reg,Lvl,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,Gable,CompShg,CemntBd,CmentBd,No,,TA,TA,PConc,Gd,TA,No,GLQ,0.38836914009676754,Unf,,-0.9159139555940183,0.07358471054082856,GasA,TA,Y,SBrkr,-0.05320917659055973,,,-0.7082262265503235,1,0,1,0,3,1,TA,6,Typ,1,TA,Attchd,Unf,2,0.398412400774624,TA,TA,Y,-0.7726691208183151,0.5302288712576715,,,,,No,No,No,,6,2007,WD,Normal,11.774527900858468,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,-0.0508034658336962,-0.05007099173939455,1970,0.07778936553246721,0.07652335946686974,1970,0.401307766285633,0.394225155850088,1970
25,20,RL,0.0,-0.32294744193801683,Pave,No,IR1,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,Gable,CompShg,Plywood,Plywood,No,,TA,Gd,CBlock,TA,TA,Mn,Rec,-1.371920982249548,ALQ,0.5640572334947376,-0.8975479489437269,0.11337309265381391,GasA,Ex,Y,SBrkr,-0.05320917659055973,,,-0.7082262265503235,1,0,1,0,3,1,Gd,6,Typ,1,TA,Attchd,Unf,1,-1.3907425456480886,TA,TA,Y,1.250088132363962,0.3389249765872507,,,,,No,MnPrv,No,,5,2010,WD,Normal,11.944714374881176,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0.07656312529058219,0.07527331470112905,1960,0.21032157608356858,0.2063551826731719,1960,-0.2851265124142036,-0.2884323586816461,2000
26,20,RL,1.666466679895742,0.9454130523152133,Pave,No,Reg,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,1.0802466520936531,Gd,TA,PConc,Gd,TA,No,Unf,,Unf,,0.9981454255154105,0.9286892487096167,GasA,Ex,Y,SBrkr,0.851019016943927,,,0.1996739232034477,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,3,1.453264104801646,TA,TA,Y,,-0.11153671888806968,,,,,No,No,No,,7,2009,WD,Normal,12.454107814022272,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,-1.30376155375224,-1.3534809385451985,2000,-1.2259850674167105,-1.2735506453649683,2000,-0.7416155106723266,-0.7757086024680245,2000
27,20,RL,-0.541352683461139,-0.6382620899952005,Pave,No,Reg,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,Wd Sdng,Wd Sdng,No,,TA,TA,CBlock,TA,TA,Mn,BLQ,-1.1150563717813302,Rec,0.2814172610611797,-1.01359957948434,-0.22839568605782945,GasA,TA,Y,SBrkr,-0.4124723919708482,,,-1.0689483643657987,0,1,1,0,3,1,Gd,5,Typ,0,No,Detchd,Unf,2,0.4150348576995464,TA,TA,Y,0.3768866286427648,-0.6378143349373354,,,,,No,No,No,,5,2010,WD,Normal,11.811554895830454,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0.28391107256219816,0.27818220173055747,1950,-1.0037632367414218,-1.028135638761577,2000,-0.23474999452526502,-0.23677605408491934,2000
28,20,RL,1.2445261223033064,0.44580090940284833,Pave,No,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,-0.01397835142079652,Gd,TA,PConc,Ex,TA,No,GLQ,0.8260636854545178,Unf,,-0.09109242803275136,1.1051586411266585,GasA,Ex,Y,SBrkr,0.9893438221217193,,,0.3385604479032432,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,3,1.113803350381988,TA,TA,Y,,-0.21863805663534527,,,,,No,No,No,,5,2010,WD,Normal,12.631343648903034,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,-1.30376155375224,-1.3534809385451985,2000,-1.3733593915938713,-1.4409974381423363,2000,-0.8708077553361632,-0.9208129855545956,2000
29,20,RL,-1.4252560742432625,1.2641256943882326,Pave,No,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,MetalSd,MetalSd,No,,TA,TA,CBlock,TA,TA,Gd,BLQ,0.8817968809117731,Unf,,-0.8840071101169972,0.8163116501908426,GasA,TA,Y,SBrkr,0.851019016943927,,,0.1996739232034477,1,0,1,0,2,1,TA,6,Typ,2,Gd,Attchd,RFn,1,-0.9936076762945231,TA,TA,Y,0.7531602324982795,1.3461085398965051,,,,,No,No,No,,12,2006,WD,Normal,12.242891437918386,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0.21819333889402778,0.21400459237883063,1950,0.3576959002607295,0.35005325104281426,1950,-0.10555774986142837,-0.10573985763459624,1990
30,30,RM,-0.541352683461139,-0.9398144388239565,Pave,No,IR1,Lvl,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,Gable,CompShg,MetalSd,MetalSd,No,,TA,TA,BrkTil,TA,TA,No,Unf,,Unf,,-0.02819253662314907,-1.3736512649363128,GasA,Fa,N,SBrkr,-1.6163512344184316,,,-2.27771600638234,0,0,1,0,1,1,Fa,4,Typ,0,No,Detchd,Unf,1,-1.671079505405996,Fa,TA,Y,-1.7931204892915054,,-0.7486933231151569,,,,No,No,No,,5,2008,WD,Normal,11.134603622683905,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0.4944916726552973,0.4831574195023119,1920,0.6974660403420093,0.6793526229028313,1920,0.7160419334400853,0.6979011174078563,1950
31,70,C (all),-1.2016750217446392,-0.2524255833223609,Pave,Pave,Reg,Lvl,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,Gambrel,CompShg,BrkFace,BrkFace,No,,TA,Fa,BrkTil,TA,TA,No,Unf,,Unf,,0.17799655068462797,-0.9111160117423127,GasA,TA,N,SBrkr,-1.1301397585907504,-0.37590858460927473,,-0.22957076684952493,0,0,1,0,3,1,TA,6,Typ,0,No,Detchd,Unf,1,-1.5739332586912635,TA,Fa,N,,-0.14593035866957632,0.25776898259414505,,,,No,MnPrv,No,,7,2008,WD,Normal,10.596659732783579,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0.5447204852233737,0.5319220363286613,1920,0.6974660403420093,0.6793526229028313,1920,0.7160419334400853,0.6979011174078563,1950
